id,timestamp,session_name,magnetic_x,magnetic_y,magnetic_z,magnetic_magnitude,acceleration_x,acceleration_y,acceleration_z,orientation_pitch,orientation_roll,orientation_yaw,latitude,longitude,accuracy,altitude,altitude_accuracy
787,1733023451127,Uiu,53.741547,4.8275604,-27.86676,60.729034,0.028945923,-0.052597046,-1.0843048,-0.21734856,0.64415073,-0.7861292,48.83408,2.3708053,65.78309,36.029602,30
788,1733023451333,Uiu,49.590668,12.935768,-27.078705,57.963993,0.096450806,0.008758545,-1.0692902,0.16759859,-0.92035997,-0.9417143,48.834145,2.3708615,32.96054,35.96841,30
789,1733023451516,Uiu,40.45276,15.040085,-32.041687,53.752205,0.04284668,0.09062195,-0.9356842,0.4873899,-0.002713761,-0.7265122,48.834145,2.3708615,32.96054,35.96841,30
790,1733023453037,Uiu,-7.9513245,20.871216,-32.719727,39.615803,-0.19493103,-0.09751892,-0.95780945,0.014291055,-0.0801979,-0.3006738,48.834145,2.3708615,32.96054,35.96841,30
791,1733023453150,Uiu,-8.580444,20.675774,-32.532135,39.48989,-0.1894226,-0.078567505,-0.9369354,-0.046912912,-0.055060323,-0.14816523,48.834145,2.3708615,32.96054,35.96841,30
792,1733023453250,Uiu,-9.007233,21.089966,-32.303925,39.616417,-0.25424194,-0.12825012,-0.99916077,0.08205013,-0.27896053,-0.2319419,48.834145,2.3708615,32.96054,35.96841,30
793,1733023453350,Uiu,-10.484192,20.98745,-30.887146,38.786686,-0.086013794,-0.1421051,-0.94898987,-0.22280565,-0.32907856,-0.3321673,48.834145,2.3708615,32.96054,35.96841,30
794,1733023453450,Uiu,-11.826965,21.561958,-30.242615,38.97962,-0.15989685,-0.21011353,-0.99868774,-0.1769311,-0.22546801,-0.20864242,48.834145,2.3708615,32.96054,35.96841,30
795,1733023453550,Uiu,-12.394012,22.374374,-29.831116,39.295288,-0.15055847,-0.17166138,-1.1013794,0.117343135,0.07264251,-0.2204104,48.834145,2.3708615,32.96054,35.96841,30
796,1733023453650,Uiu,-13.202454,21.802467,-30.440033,39.70199,-0.158432,-0.16693115,-0.98857117,0.1797924,-0.49971396,-0.16271354,48.834145,2.3708615,32.96054,35.96841,30
797,1733023453750,Uiu,-14.413513,21.828865,-30.117676,39.89139,-0.18984985,-0.16253662,-0.9651947,0.11777856,0.012206066,-0.14343333,48.834145,2.3708615,32.96054,35.96841,30
798,1733023453850,Uiu,-14.37207,21.289635,-30.82196,40.12229,-0.21147156,-0.19168091,-0.89282227,-0.12326361,0.052465074,-0.30146638,48.834145,2.3708615,32.96054,35.96841,30
799,1733023453950,Uiu,-14.668549,21.585037,-30.709076,40.300465,-0.1946106,-0.19085693,-0.95921326,-0.023335682,-0.08442221,-0.21169627,48.834145,2.3708615,32.96054,35.96841,30
800,1733023454063,Uiu,-15.46756,21.576828,-30.235443,40.236637,-0.20544434,-0.17601013,-1.0050812,-0.08765875,0.042330414,-0.17666665,48.834145,2.3708615,32.96054,35.96841,30
801,1733023454163,Uiu,-15.369598,21.21341,-30.64624,40.316563,-0.20066833,-0.17120361,-0.9688263,-0.022131402,0.1875896,-0.17734283,48.834145,2.3708615,32.96054,35.96841,30
802,1733023454263,Uiu,-14.3428955,21.305283,-31.763275,40.84776,-0.20986938,-0.20779419,-0.95095825,0.16250369,0.049017876,0.20481999,48.834145,2.3708615,32.96054,35.96841,30
803,1733023454363,Uiu,-13.902496,21.14447,-31.92398,40.73707,-0.1914978,-0.17015076,-0.9057007,-0.12648444,-0.039366316,-0.03263997,48.834145,2.3708615,32.96054,35.96841,30
804,1733023454463,Uiu,-13.700684,21.69188,-31.726593,40.802242,-0.18788147,-0.10845947,-0.99082947,-0.1351485,0.1843054,0.118368186,48.834145,2.3708615,32.96054,35.96841,30
805,1733023454563,Uiu,-12.524597,22.106705,-31.621246,40.564457,-0.16078186,-0.14414978,-0.949173,-0.04219752,-0.10610566,0.29766816,48.834145,2.3708615,32.96054,35.96841,30
806,1733023454700,Uiu,-11.929565,22.566162,-31.611511,40.630455,-0.23773193,-0.15690613,-0.9849396,-0.06466501,-0.08313856,0.122573055,48.834145,2.3708615,32.96054,35.96841,30
807,1733023454813,Uiu,-11.56955,22.824554,-31.904266,40.898617,-0.18257141,-0.14604187,-0.9640808,-0.07587346,0.1926078,0.12883228,48.834145,2.3708615,32.96054,35.96841,30
808,1733023454922,Uiu,-10.839996,23.359665,-31.925049,41.016926,-0.26005554,-0.15202332,-1.0244446,0.06296618,0.14394999,0.002116414,48.834145,2.3708615,32.96054,35.96841,30
809,1733023455035,Uiu,-9.794525,22.996155,-32.71472,41.170486,-0.21937561,-0.1363678,-0.90586853,0.045158688,0.33276516,0.0020780645,48.834145,2.3708615,32.96054,35.96841,30
